date,individual,foreign,institution
20260429,1681,-6071,4771
20260430,11824,-14559,2838
20260504,-47936,29308,20098
20260506,-5715,31085,-22894
20260507,59925,-66987,8917
20260508,39707,-52967,12542
20260511,28669,-28147,-458
20260512,66818,-56090,-12138
20260513,18868,-37227,16876
20260514,18499,-21450,1927
20260515,72308,-56040,-17347
20260518,22094,-36492,13904
20260519,56289,-57242,1575
20260520,17104,-29310,11070
20260521,-26754,-2212,29008
20260522,10655,-19221,7583
20260526,-5745,-1321,8168
20260527,4064,-2493,-126
20260528,36146,-27414,-10422
20260529,-14054,-10421,23688
20260601,3862,-28219,24427
20260602,63537,-63035,-546
20260604,50135,-66663,15255
20260605,42240,-27638,-13809
20260608,17628,-2644,-17164
20260609,-6167,-20064,25048
20260610,48643,-27754,-22665
20260611,20803,-14640,-7561
20260612,-43174,22041,22870
20260615,-15124,10774,4462
20260616,-21841,15353,7076
20260617,5254,-9952,5957
20260618,-4156,12776,-7682
20260619,16478,-3555,-12244
20260622,21506,-25466,3034
20260623,85910,-42047,-44760
20260624,26312,-46546,19095
20260625,-24136,-8754,33244
20260626,81919,-42906,-41224
